Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
9;91;welzijn en gezondheid;gezondheid;Opleiding Fasciatherapie voor kinesitherapeuten en postgraduaat Sensoriële Osteopathie voor kinesitherapeuten/osteopaten. Opleiding perceptieve pedagogie voor pedagogen en psychologen
4;41;handel, administratie en recht;handel en administratie;Ligne hiérarchique
9;91;welzijn en gezondheid;gezondheid;referentenopleiding palliatieve zorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Beroepsopleiding technieken: verwarming met stookolie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Intensief programma brouwerij cursus
2;21;kunst en menswetenschappen;kunst;Inlijster
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Gecertificeerd aspirant-installateur van hernieuwbare energie - ondiepe geothermische systemen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;HOEKNAADLASSEN MET ELEKTRODE
7;72;techniek, fabricage en constructie;fabricage en verwerking;INGANGSCONTROLE - 117U
9;91;welzijn en gezondheid;gezondheid;Basisopleiding voor hulpverlener-ambulancier
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Theoretical Chemistry and Computational Modelling (EM)
7;73;techniek, fabricage en constructie;architectuur en constructie;Dichtingswerken - Platte Daken
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Klauwverzorging bij rundvee 3 volledige dagen
1;11;onderwijs;onderwijs;Postgraduaat adventure education - ervaringsleren in buitenactiviteiten
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Interdisciplinaire Geestelijke Gezondheidszorg
9;91;welzijn en gezondheid;gezondheid;Bij-en nascholing autopsie-assistent
9;92;welzijn en gezondheid;welzijn;Agogische bijscholing orthopedagogie
9;91;welzijn en gezondheid;gezondheid;Postgraduaat oncologiche gezondheidszorg
4;41;handel, administratie en recht;handel en administratie;Start To Plan in een WZC
2;23;kunst en menswetenschappen;talen;Nederlands tweede taal alfabetisering richtgraad 1
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ELECTRICITE INDUSTRIELLE
10;104;diensten;transportdiensten;Transport and Maritime Economics
9;92;welzijn en gezondheid;welzijn;Postgraduaat mindfulness. Toepassingen in de gezondheidssector en de welzijnssector
4;41;handel, administratie en recht;handel en administratie;Leidinggeven en vormingen
7;73;techniek, fabricage en constructie;architectuur en constructie;Basisvorming Bouw  jaar 1 (40u) 
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);PL / SQL sur Oracle (Procedural Language / Structured Query L
4;41;handel, administratie en recht;handel en administratie;Winkelmanagement
10;104;diensten;transportdiensten;Nascholing vakbekwaamheid beroepschauffeurs C-CE
4;41;handel, administratie en recht;handel en administratie;Opleiding TO - TM opvolgers.
4;41;handel, administratie en recht;handel en administratie;Verzekeringen voor Personen in Contact met het Publiek (PCP)
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ VERHOGING MULTI-INZETBAARHEID (16/1398)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud en afstellen van groot- en kleinpakpersen
7;73;techniek, fabricage en constructie;architectuur en constructie;Introductiecursus voor werknemers uit SVK's
7;71;techniek, fabricage en constructie;techniek en technische beroepen;NIEUW PROJECT FORD FIESTA KEULEN
10;101;diensten;persoonlijke diensten;Maatwerk damespatronen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Électricité de base
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Wijnbouwer-wijnmaker
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Humane wetenschappen ASO 3
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Ziekten en plagen in de tuinen 1 volledige dag
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Les viennoiseries: entre tradition et modernisme!
0;2;algemene programma's en kwalificaties;geletterdheid en gecijferdheid;Open Wiskunde
9;91;welzijn en gezondheid;gezondheid;Bachelor in de vroedkunde via afstandsonderwijs
4;41;handel, administratie en recht;handel en administratie;Melba
4;41;handel, administratie en recht;handel en administratie;Prince 2® - Fondamentalis
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;mentorenopleiding
9;90;welzijn en gezondheid;welzijn en gezondheid;Life coaching
10;104;diensten;transportdiensten;Vakbekwaamheid, d.i. de verplichte nascholing van chauffeurs rijbewijs C en CE
9;92;welzijn en gezondheid;welzijn;Master en sciences de la famille et de la sexualité
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);MS-works
9;91;welzijn en gezondheid;gezondheid;Bachelor in de oncologische zorg (Banaba)
9;92;welzijn en gezondheid;welzijn;basisopleiding gezinshelper - dienstverlening aan personen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance SMED Reductie van stilstandtijden
9;91;welzijn en gezondheid;gezondheid;zorgtechnologie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Etikettering
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Trading for new leaders
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Stagementor reeks 1 - doelgroep verpleegkundigen,vroedkundigen en paramedici
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;Boomverzorger
7;73;techniek, fabricage en constructie;architectuur en constructie;Aannemer dichtingswerken
7;71;techniek, fabricage en constructie;techniek en technische beroepen;LIJNOPERATOR NIVEAU 1 - 156u
9;91;welzijn en gezondheid;gezondheid;Infirmier éducateur ayant une expertise en diabétologie
9;92;welzijn en gezondheid;welzijn;Het hoofd koel houden in noodsituaties
2;21;kunst en menswetenschappen;kunst;Cinema 4D - Initiation à travers une visite d'architecture
7;73;techniek, fabricage en constructie;architectuur en constructie;Stedenbouw en ruimtelijke planning
7;71;techniek, fabricage en constructie;techniek en technische beroepen;H24 - werken op hoogte
7;73;techniek, fabricage en constructie;architectuur en constructie;Graafmachinist
4;41;handel, administratie en recht;handel en administratie;De OR - Niveau 2
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Industrial Sciences: Electromechanical Engineering
4;41;handel, administratie en recht;handel en administratie;Overheidsmanagement en -beleid
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Technique Produits
9;91;welzijn en gezondheid;gezondheid;Ergotherapeutische wetenschap (GO)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Monteur Metalen Constructies
2;28;kunst en menswetenschappen;interdisciplinaire programma's en kwalificaties m.b.t. kunst en menswetenschappen;Taal- en regiostudies: japanologie
4;41;handel, administratie en recht;handel en administratie;Freight Invoice matching
9;91;welzijn en gezondheid;gezondheid;Palliatieve zorg voor verpleegkundigen (postgraduaat)
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Onderhoud en afstellen van maaidorsers  3 volledige dagen
9;91;welzijn en gezondheid;gezondheid;Schakelprogramma master in de seksuologie
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Restauratievakman van papier
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Emotion Focused Therapy langdurige psychotherapie opleiding voor volwassenen - 4 jaar
9;91;welzijn en gezondheid;gezondheid;Basismodule palliatieve zorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoudselektricien van de ploeg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Part-66 : Module 08 - Aérodynamique de base
7;73;techniek, fabricage en constructie;architectuur en constructie;Aanleggen van verhardingen 3 volledige dagen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Extruders plabo
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Formation sur les nouvelles réalités culturelles, sociales et économiques dans le monde du travail - Niveau 2
9;92;welzijn en gezondheid;welzijn;Kinderbegeleider baby's en peuters
1;11;onderwijs;onderwijs;Opleider-begeleider in bedrijven en organisaties
9;92;welzijn en gezondheid;welzijn;Thérapie brève orientée vers les solutions niveau 1
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TECHNIQUE - COORDINATION SOUDAGE
4;41;handel, administratie en recht;handel en administratie;Module magazijnmedewerker - modulair
7;72;techniek, fabricage en constructie;fabricage en verwerking;Trainingsmodules herstellen en sorteren pallets
4;41;handel, administratie en recht;handel en administratie;HR Officer
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Wondzorg 60stp (2 academiejaren)
9;92;welzijn en gezondheid;welzijn;Bientraitance des aînés
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Motiverend leidinggeven en emotionele intelligentie (Bedrijfsinterne opleiding bij Alro Holding)
2;21;kunst en menswetenschappen;kunst;Podiumtechnicus beeld
9;92;welzijn en gezondheid;welzijn;Postgraduaat Fertiliteitscounselor
9;91;welzijn en gezondheid;gezondheid;Inwerkingstraject polyvalent verzorgenden te Gent
2;23;kunst en menswetenschappen;talen;Néerlandais
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Elektrische Installaties Veiligheid
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Mindfulnesstrainer voor kinderen – professionalisering 
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mécanique industrielle
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ SEQUENCE
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Staltechnieken voor pluimvee
9;91;welzijn en gezondheid;gezondheid;Centrale basiscursus palliatieve zorg voorjaar 2013 Diksmuide
9;92;welzijn en gezondheid;welzijn;Formation pour le secteur et d l'hébergement pour personnes agées
4;41;handel, administratie en recht;handel en administratie;Certificat d'Université en Gestion des Situations d'Exception
4;41;handel, administratie en recht;handel en administratie;Opleiding TO - TM administratie.
2;21;kunst en menswetenschappen;kunst;Animatuers (ANI)
2;21;kunst en menswetenschappen;kunst;Grafische afwerking
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Opstellen, actualiseren en implementeren van het HACCP-plan in de droge voeding
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Outilleur-Ajusteur - Programmation Heidenhain
9;91;welzijn en gezondheid;gezondheid;Permanente vorming operatiezaalverpleegkundige en/of chirurgisch dagcentrum
9;91;welzijn en gezondheid;gezondheid;Referentieverpleegkundige diabeteszorg verdiepingsmodule 
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Maatschappijoriëntatie: Techniek
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Analyse vibratoire - niveau 1
9;92;welzijn en gezondheid;welzijn;Wellnesscoaching in de ergotherapie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Traçabilité pour préparateur de commandes en industrie alimentaire: bases théoriques
9;92;welzijn en gezondheid;welzijn;Formation aides-soignantes en gériatrie
7;73;techniek, fabricage en constructie;architectuur en constructie;Basisvorming bouw jaar 2 (40u)
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;In - service training polyvalent verzorgende te Wijgmaal, Zellik, Bilzen en Malle
7;72;techniek, fabricage en constructie;fabricage en verwerking;Prod. and Mat. Planner (Bedrijfsinterne opleiding bij Alro NV)
4;41;handel, administratie en recht;handel en administratie;Marketing Analysis
9;92;welzijn en gezondheid;welzijn;Samenwerkingsgericht en systemisch werken met gezinnen (GB11)
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Peterschapsopleiding 1 volledige dag
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Logique et introduction à la programmation d'API
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;A-traject ergotherapie (professionele bacheleropleiding)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);INFORMATIQUE - IPv6 (Internet Protocol version 6)
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Veiligheidsadviseur ADR wegtransport
7;73;techniek, fabricage en constructie;architectuur en constructie;W11- rechte trappen vergaren/samenstellen ipv trappen vergaren/samenstellen
9;92;welzijn en gezondheid;welzijn;Omkadering in beschutte werkplaatsen
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Adobe Photoshop - Initiation
9;91;welzijn en gezondheid;gezondheid;Certificat de spécialisation en réduction vestibule et des troubles de l'équilibre
9;91;welzijn en gezondheid;gezondheid;Centrale basiscursus palliatieve zorg voorjaar 2014 Diksmuide
9;91;welzijn en gezondheid;gezondheid;Poteyage
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Permanente vorming gedragstherapie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Manipuler les poudres alimentaires: propriétés, mélange, transport
10;103;diensten;veiligheidsdiensten;Attest schietoefening
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bediener- programmeur spuitrobot
2;23;kunst en menswetenschappen;talen;Lessen Nederlands voor verpleegkundigen en paramedisch personeel in de Brusselse ziekenhuizen (Brussels Heart Center)
9;92;welzijn en gezondheid;welzijn;Vrouwen Verzoening privé- en beroepsleven
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Soudage à l'arc électrique
9;91;welzijn en gezondheid;gezondheid;Posthogeschoolvorming Intensieve zorgen pediatrie
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;SOCIALE ACTUALITEITEN – 4 dagen
7;72;techniek, fabricage en constructie;fabricage en verwerking;Méthode de fabrication
